Species,Area
A_pubescens,A
C_selaginoides,B
He_micranthum,B
L_acuticarpum,B
L_adustum,B
L_aethiopicum,B
L_africanum,B
L_album,A
L_alpinum,A
L_arboreum,A
L_aretioides,A
L_aroanium1,A
L_austr_gomaricum,A
L_austr_mauritanicum,A
L_austriacum,A
L_bienne,A
L_brevistylum,B
L_bungei,A
L_campanulatum,A
L_capitatum,A
L_cariense,A
L_catharticum,A
L_comptonii,B
L_corymbiferum,A
L_corymbulosum,A
L_decumbens1,A
L_densiflorum1,A
L_densiflorum2,A
L_elegans,A
L_empetrifolium1,A
L_esterhuysenae,B
L_flavum,A
L_flos-carmini,A
L_gallicum,A
L_gracile,B
L_grandiflorum,A
L_gyaricum,A
L_heterostylum,B
L_hirsutum,A
L_hologynum,A
L_hypericifolium,A
L_kingii,B
L_lanuginosum,A
L_leonii,A
L_lewisii,B
L_liburnicum,A
L_littorale,B
L_macraei,B
L_marginale,B
L_maritimum,A
L_meletonis,A
L_mucronatum1,A
L_mumbyanum,A
L_narbonense,A
L_nervosum,A
L_nodiflorum,A
L_numidicum,A
L_obtusatum,A
L_oligophyllum,B
L_olympicum,A
L_pallescens,A
L_perenne,A
L_prostratum,B
L_pubescens,A
L_punctatum1,A
L_punctatum2,A
L_pungens,B
L_pycnophyllum,A
L_quadrifolium,B
L_rupestre,B
L_seljukorum,A
L_setaceum,A
L_spathulatum,A
L_stelleroides,A
L_striatum,B
L_strictum,A
L_subasperifolium,A
L_suffruticosum1,A
L_syriacum,A
L_tauricum,A
L_tenue1,A
L_tenue3,A
L_tenuifolium1,A
L_thesioides,B
L_thunbergii,B
L_tmoleum,A
L_tommasinii,A
L_triflorum,A
L_trigynum,A
L_unguiculatum,A
L_usitatissimum,A
L_velutinum,A
L_vernale,B
L_villarianum,A
L_villosum,B
L_virgatum,A
L_virgultorum,A
L_viscosum,A
L_volkensii,B
Ra_linoides,AB
Re_indica,A
S_digynum,B
T_sinensis,A
